tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
24510260401,"Armistead Gardens, Baltimore, MD",0.3593
24003750203,"Baltimore, MD",0.334
24005452000,"Sparrows Point, MD",0.3212
24005450100,"Rosedale, MD",0.3187
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3183
24003730204,"Glen Burnie, MD",0.3086
24003750201,"Brooklyn, Baltimore, MD",0.3042
24005430800,"Halethorpe, MD",0.3027
24003750101,"Brooklyn Park, MD",0.301
24005452300,"Baltimore, MD",0.2974
24005450400,"Essex, MD",0.2953
24005452100,"Sparrows Point, MD",0.2943
24005402403,"Gwynn Oak, Baltimore, MD",0.2929
24003731308,"Pasadena, MD",0.2911
24005402303,"Windsor Mill, Baltimore, MD",0.2894
24005430400,"Halethorpe, MD",0.287
24510260700,"Fifteenth Street, Baltimore, MD",0.2868
24510250206,"Morrell Park, Baltimore, MD",0.2865
24510150702,"Walbrook, Baltimore, MD",0.2847
24005451702,"Middle River, MD",0.2844
24005402407,"Windsor Mill, Milford Mill, MD",0.2842
24510271700,"Central Park Heights, Baltimore, MD",0.2839
24005402504,"Randallstown, MD",0.2835
24005452500,"Dundalk, MD",0.2828
24005421300,"Dundalk, MD",0.2826
24005402405,"Gwynn Oak, Baltimore, MD",0.2817
24005430700,"Halethorpe, MD",0.2798
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.2797
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2792
24510130804,"Hampden, Baltimore, MD",0.2778
24005403202,"Gwynn Oak, Baltimore, MD",0.2763
24005420800,"Dundalk, MD",0.276
24510130700,"Hampden, Baltimore, MD",0.2754
24005411302,"White Marsh, MD",0.2748
24510250203,"Cherry Hill, Baltimore, MD",0.274
24005403201,"Gwynn Oak, Lochearn, MD",0.2735
24510250303,"Morrell Park, Baltimore, MD",0.2733
24005440300,"Nottingham, MD",0.2717
24003750202,"Brooklyn Park, MD",0.2711
24005420401,"Dundalk, MD",0.271
24510271900,"Glen, Baltimore, MD",0.2705
24510280402,"Rognel Heights, Baltimore, MD",0.2696
24003751102,"Glen Burnie, MD",0.2693
24510030100,"Perkins Homes, Baltimore, MD",0.269
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.2658
24510210100,"Pigtown, Baltimore, MD",0.2649
24003751000,"Glen Burnie, MD",0.2622
24005402602,"Randallstown, MD",0.2619
24510250500,"Curtis Bay, Baltimore, MD",0.2617
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2616
24510250102,"Yale Heights, Baltimore, MD",0.2615
24005401101,"Woodlawn, MD",0.2614
24510260102,"Frankford, Baltimore, MD",0.2612
24005440702,"Rosedale, MD",0.2609
24003750801,"Glen Burnie, MD",0.2606
24005420402,"Dundalk, MD",0.2605
24003750102,"Baltimore, MD",0.2602
24005450501,"Essex, MD",0.2597
24005401302,"Gwynn Oak, Baltimore, MD",0.2595
24005492300,"Essex, MD",0.2587
24510160802,"Edmondson, Baltimore, MD",0.2578
24005451803,"Middle River, MD",0.2574
24510151100,"East Arlington, Baltimore, MD",0.257
24005402304,"Gwynn Oak, Baltimore, MD",0.2557
24510080101,"Belair - Edison, Baltimore, MD",0.2557
24005451000,"Essex, MD",0.2553
24005420600,"Baltimore, MD",0.2553
24005401200,"Woodlawn, MD",0.2551
24005400600,"Catonsville, MD",0.2545
24510150400,"Mondawmin, Baltimore, MD",0.2542
24005401301,"Woodlawn, MD",0.2541
24510240100,"Locust Point, Baltimore, MD",0.2534
24510250301,"Westport, Baltimore, MD",0.2526
24510080700,"Broadway East, Baltimore, MD",0.2525
24510080302,"Berea, Baltimore, MD",0.2515
24510151300,"Central Park Heights, Baltimore, MD",0.2512
24005441101,"Rosedale, MD",0.2512
24005420301,"Dundalk, MD",0.251
24005441102,"Rosedale, MD",0.251
24003730300,"Glen Burnie, MD",0.2503
24510100100,"Johnson Square, Baltimore, MD",0.2498
24005402604,"Randallstown, MD",0.2488
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2488
24510200100,"Lexington, Baltimore, MD",0.2486
24005430600,"Relay, Halethorpe, MD",0.2477
24003740103,"Hanover, MD",0.2469
24510260301,"Belair - Edison, Baltimore, MD",0.2469
24005451200,"Middle River, MD",0.2466
24003751200,"Linthicum Heights, MD",0.2464
24005450900,"Essex, MD",0.2462
24005451500,"Middle River, MD",0.2458
24005421101,"Baltimore, MD",0.2455
24003751103,"Glen Burnie, MD",0.2454
24005450200,"Essex, MD",0.2453
24510271600,"Edgecomb, Baltimore, MD",0.2442
24005451801,"Middle River, MD",0.244
24005402306,"Windsor Mill, Baltimore, MD",0.2437
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.2436
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2434
24510160300,"Sandtown-Winchester, Baltimore, MD",0.2432
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.2432
24510130803,"Medfield, Baltimore, MD",0.2431
24510150100,"Sandtown-Winchester, Baltimore, MD",0.2426
24510130600,"Hampden, Baltimore, MD",0.2424
24003750400,"Linthicum Heights, MD",0.2412
24005402506,"Randallstown, MD",0.241
24510272007,"Fallstaff, Baltimore, MD",0.2408
24003730401,"Glen Burnie, MD",0.2405
24005451300,"Middle River, MD",0.2402
24510010300,"Canton, Baltimore, MD",0.2401
24003740102,"Hanover, MD",0.2401
24510280401,"Baltimore, MD",0.2399
24003731306,"Pasadena, MD",0.2386
24510240400,"Riverside Park, Baltimore, MD",0.2384
24510270803,"Loch Raven, Baltimore, MD",0.2384
24005451900,"Edgemere, MD",0.2384
24005492102,"Parkville, MD",0.2383
24510020100,"Upper Fells Point, Baltimore, MD",0.2381
24005420302,"Dundalk, MD",0.238
24510070100,"Baltimore, MD",0.2379
24510270301,"Lauraville, Baltimore, MD",0.2374
24510250101,"Beechfield, Baltimore, MD",0.2369
24510250204,"Cherry Hill, Baltimore, MD",0.2368
24027601201,"Elkridge, MD",0.2367
24510200500,"Mill Hill, Baltimore, MD",0.2364
24510150701,"Hanlon Longwood, Baltimore, MD",0.2362
24510120700,"Remington, Baltimore, MD",0.2356
24510200200,"Lexington, Baltimore, MD",0.2354
24005402404,"Gwynn Oak, Lochearn, MD",0.2353
24005421102,"Dundalk, MD",0.2352
24510271001,"Baltimore, MD",0.2349
24005401507,"Windsor Mill, Baltimore, MD",0.2348
24005420200,"Dundalk, MD",0.2348
24510090500,"Better Waverly, Baltimore, MD",0.2347
24510150500,"Burleith-Leighton, Baltimore, MD",0.2344
24510271002,"Winston - Govans, Baltimore, MD",0.2342
24027606901,"Savage, Jessup, MD",0.2339
24005420100,"Dundalk, MD",0.2332
24005403100,"Gwynn Oak, Pikesville, MD",0.233
24510160700,"Rosemont, Baltimore, MD",0.2328
24510260302,"Belair - Edison, Baltimore, MD",0.2324
24510200701,"Allendale, Baltimore, MD",0.2322
24005452400,"Dundalk, MD",0.2321
24510270902,"Perring Loch, Baltimore, MD",0.2315
24510250205,"Lakeland, Baltimore, MD",0.2314
24510270802,"Ramblewood, Baltimore, MD",0.2313
24003740201,"South Gate, Glen Burnie, MD",0.2313
24005401505,"Catonsville, MD",0.231
24005421200,"Dundalk, MD",0.2309
24510151000,"Dorchester, Baltimore, MD",0.2303
24005421000,"Dundalk, MD",0.2301
24510260203,"Frankford, Baltimore, MD",0.23
24005451100,"Essex, MD",0.2298
24510280101,"Reisterstown Station, Baltimore, MD",0.2291
24510260501,"Joseph Lee, Baltimore, MD",0.229
24005450300,"Essex, MD",0.2281
24510130806,"Woodberry, Baltimore, MD",0.2277
24510180100,"Poppleton, Baltimore, MD",0.2277
24510140200,"Upton, Baltimore, MD",0.2274
24510270805,"Mid-Govans, Baltimore, MD",0.2273
24005451802,"Middle River, MD",0.2267
24003730203,"Glen Burnie, MD",0.2266
24005402302,"Windsor Mill, Milford Mill, MD",0.2259
24510130400,"Woodbrook, Baltimore, MD",0.2258
24510090400,"Better Waverly, Baltimore, MD",0.2256
24510270903,"Hillen, Baltimore, MD",0.2253
24005420500,"Baltimore, MD",0.225
24510200800,"Irvington, Baltimore, MD",0.2248
24510200600,"Baltimore, MD",0.2248
24005401506,"Windsor Mill, Baltimore, MD",0.2235
24510230300,"South Baltimore, Baltimore, MD",0.2234
24510200400,"Shipley Hill, Baltimore, MD",0.2231
24003750900,"Glen Burnie, MD",0.2231
24510090800,"East Baltimore Midway, Baltimore, MD",0.2231
24510270801,"Idlewood, Baltimore, MD",0.2226
24003750300,"Linthicum Heights, MD",0.2226
24005440400,"Baltimore, MD",0.2225
24005441000,"Baltimore, MD",0.2223
24510130200,"Reservoir Hill, Baltimore, MD",0.2222
24003750803,"Glen Burnie, MD",0.2218
24005402509,"Owings Mills, MD",0.2217
24510250103,"Violetville, Baltimore, MD",0.2213
24510271802,"Langston Hughes, Baltimore, MD",0.2211
24510280404,"Irvington, Baltimore, MD",0.2208
24005440701,"Rosedale, MD",0.2205
24005401102,"Gwynn Oak, Woodlawn, MD",0.2205
24510260402,"Frankford, Baltimore, MD",0.2202
24005420303,"Dundalk, MD",0.2197
24510240200,"Riverside, Baltimore, MD",0.2197
24005451401,"Middle River, MD",0.2191
24003750804,"Glen Burnie, MD",0.2191
24510270401,"Glenham-Belford, Baltimore, MD",0.2175
24510272003,"Baltimore, MD",0.2168
24005402307,"Pikesville, MD",0.2161
24005440100,"Baltimore, MD",0.2159
24510150600,"NW Community Action, Baltimore, MD",0.2154
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2152
24005411404,"Parkville, MD",0.2145
24027601107,"Waterloo, Elkridge, MD",0.2144
24027601204,"Elkridge, MD",0.2142
24510260604,"O'Donnell Heights, Baltimore, MD",0.2129
24510260101,"Cedmont, Baltimore, MD",0.2128
24510060100,"Patterson Park, Baltimore, MD",0.2122
24510060400,"Baltimore, MD",0.2122
24510080102,"Belair - Edison, Baltimore, MD",0.212
24005491600,"Parkville, MD",0.2116
24510190100,"Franklin Square, Baltimore, MD",0.2113
24510120300,"Harwood, Baltimore, MD",0.2111
24005430900,"Baltimore, MD",0.211
24005420701,"Dundalk, MD",0.2109
24510080500,"Darley Park, Baltimore, MD",0.2109
24005401503,"Catonsville, MD",0.2108
24510160200,"Sandtown-Winchester, Baltimore, MD",0.2108
24510271801,"Arlington, Baltimore, MD",0.2101
24510151200,"Park Circle, Baltimore, MD",0.21
24510260202,"Parkside, Baltimore, MD",0.21
24510130300,"Penn North, Baltimore, MD",0.21
24005403500,"Pikesville, MD",0.2088
24510280102,"Gwynn Oak, Baltimore, MD",0.2088
24510150800,"Garwyn Oaks, Baltimore, MD",0.2084
24510200702,"Saint Joseph's, Baltimore, MD",0.2082
24510090900,"Oliver, Baltimore, MD",0.2081
24510160600,"Mosher, Baltimore, MD",0.2073
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2068
24510260404,"Baltimore Highlands, Baltimore, MD",0.2061
24510190300,"Mount Clare, Baltimore, MD",0.2058
24510270901,"New Northwood, Baltimore, MD",0.2058
24510150900,"Windsor Hills, Baltimore, MD",0.2055
24005491900,"Parkville, MD",0.2055
24510190200,"Pratt Monroe, Baltimore, MD",0.2053
24510280200,"Gwynn Oak, Baltimore, MD",0.2052
24510250207,"Cherry Hill, Baltimore, MD",0.2051
24510080600,"Broadway East, Baltimore, MD",0.205
24005440200,"Nottingham, MD",0.2046
24510280302,"West Forest Park, Baltimore, MD",0.2044
24005402603,"Randallstown, MD",0.2031
24005450800,"Essex, MD",0.2031
24510230100,"Baltimore, MD",0.2026
24005403300,"Lochearn, Pikesville, MD",0.2022
24510250402,"Brooklyn, Baltimore, MD",0.2022
24005402505,"Randallstown, MD",0.2017
24510272004,"Cheswolde, Baltimore, MD",0.2013
24003751400,"Severn, MD",0.2011
24510210200,"Pigtown, Baltimore, MD",0.2011
24510010200,"Patterson Park, Baltimore, MD",0.2009
24510271101,"Radnor - Winston, Baltimore, MD",0.2008
24510260900,"Baltimore, MD",0.2004
24510160801,"Edmondson, Baltimore, MD",0.1993
24005451600,"Middle River, MD",0.1992
24510260403,"Cedonia, Baltimore, MD",0.199
24510270200,"Lauraville, Baltimore, MD",0.1989
24005400800,"Catonsville, MD",0.1985
24003731309,"Riviera Beach, MD",0.1984
24510250401,"Brooklyn, Baltimore, MD",0.1979
24510070300,"Milton - Montford, Baltimore, MD",0.1972
24005492402,"Owings Mills, MD",0.197
24005451701,"Middle River, MD",0.1968
24005492200,"Parkville, MD",0.1967
24510080200,"Broadway East, Baltimore, MD",0.1963
24005451402,"Middle River, MD",0.1961
24510080301,"Berea, Baltimore, MD",0.196
24510070200,"Madison - Eastend, Baltimore, MD",0.1958
24510140300,"Druid Heights, Baltimore, MD",0.1956
24510270101,"Arcadia, Baltimore, MD",0.1947
24005411306,"Nottingham, MD",0.194
24005492002,"Parkville, MD",0.1939
24510260303,"Claremont - Freedom, Baltimore, MD",0.1938
24005440500,"Nottingham, MD",0.1934
24510260800,"Baltimore Highlands, Baltimore, MD",0.1933
24510270302,"Waltherson, Baltimore, MD",0.193
24510150300,"Coppin Heights, Baltimore, MD",0.1929
24005420900,"Dundalk, MD",0.1923
24005403401,"Pikesville, MD",0.1918
24005402305,"Lochearn, Pikesville, MD",0.1917
24027606707,"Columbia, MD",0.1913
24005411408,"Nottingham, MD",0.1912
24027606607,"Long Reach, Columbia, MD",0.1908
24510160400,"Midtown Edmondson, Baltimore, MD",0.1902
24005400701,"Catonsville, MD",0.19
24005420702,"Dundalk, MD",0.1898
24510170100,"Downtown, Baltimore, MD",0.1895
24005491300,"Baltimore, MD",0.1889
24005450503,"Essex, MD",0.1878
24005491401,"Parkville, MD",0.1877
24005440600,"Rosedale, MD",0.1875
24005440800,"Rosedale, MD",0.1873
24510150200,"Sandtown-Winchester, Baltimore, MD",0.1869
24510261000,"Patterson Park, Baltimore, MD",0.1866
24510270402,"Glenham-Belford, Baltimore, MD",0.1865
24005491402,"Parkville, MD",0.1856
24510160100,"Harlem Park, Baltimore, MD",0.1854
24005403402,"Pikesville, MD",0.1846
24027606706,"Kendall Ridge, Columbia, MD",0.1841
24510250600,"Brooklyn, Baltimore, MD",0.184
24510272005,"Cross Country, Baltimore, MD",0.1839
24510280500,"Pleasant View Gardens, Baltimore, MD",0.1829
24005400200,"Catonsville, MD",0.1826
24510180300,"Hollins Market, Baltimore, MD",0.1825
24510270102,"Waltherson, Baltimore, MD",0.1822
24005401504,"Catonsville, MD",0.1822
24510120400,"Barclay, Baltimore, MD",0.1819
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1816
24005400400,"Catonsville, MD",0.1815
24005411410,"Parkville, MD",0.1814
24005403602,"Baltimore, MD",0.1813
24510272006,"Glen, Baltimore, MD",0.1807
24510180200,"Poppleton, Baltimore, MD",0.1805
24005411407,"Parkville, MD",0.1804
24510120500,"Greenmount West, Baltimore, MD",0.1801
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1801
24005403702,"Pikesville, MD",0.1796
24005440900,"Rosedale, MD",0.179
24005402406,"Windsor Mill, Milford Mill, MD",0.1782
24510130805,"Cold Springs, Baltimore, MD",0.1776
24510270703,"North Harford Road, Baltimore, MD",0.1767
24510100200,"Baltimore, MD",0.1765
24510220100,"Baltimore, MD",0.1764
24005400100,"Catonsville, MD",0.1761
24027606606,"Long Reach, Columbia, MD",0.176
24510030200,"Little Italy, Baltimore, MD",0.1756
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1756
24510260605,"Medford - Broening, Baltimore, MD",0.1755
24510270501,"Woodring, Baltimore, MD",0.1743
24005401400,"Catonsville, MD",0.1742
24005411309,"Perry Hall, MD",0.174
24510170200,"McCulloh Homes, Baltimore, MD",0.1736
24510270502,"North Harford Road, Baltimore, MD",0.1735
24027602800,"Ellicott City, MD",0.1733
24005400900,"Catonsville, MD",0.1722
24510070400,"Gay Street, Baltimore, MD",0.172
24005411308,"Nottingham, MD",0.1715
24027601103,"West Elkridge, Elkridge, MD",0.1711
24027602302,"Columbia, MD",0.1699
24005411303,"Nottingham, MD",0.1698
24510010100,"Canton, Baltimore, MD",0.1685
24005401000,"Catonsville, MD",0.168
24005491500,"Parkville, MD",0.1659
24510230200,"South Baltimore, Baltimore, MD",0.1649
24510240300,"Riverside, Baltimore, MD",0.1642
24005491000,"Baltimore, MD",0.1641
24510060300,"Butchers Hill, Baltimore, MD",0.163
24005400702,"Baltimore, MD",0.1628
24027601108,"Ellicott City, MD",0.1623
24027601104,"Ellicott City, MD",0.1621
24510260201,"Frankford, Baltimore, MD",0.1614
24510170300,"Upton, Baltimore, MD",0.1606
24005402202,"Baltimore County, MD",0.1602
24005492001,"Parkville, MD",0.1601
24027601105,"Ellicott City, MD",0.1593
24005450504,"Essex, MD",0.1588
24510270804,"Lake Walker, Baltimore, MD",0.1585
24510080800,"Broadway East, Baltimore, MD",0.1584
24005490800,"Towson, MD",0.1582
24005490400,"Towson, MD",0.1582
24027601203,"Elkridge, MD",0.1576
24510280403,"Westgate, Baltimore, MD",0.1575
24005490900,"Towson, MD",0.1574
24005411307,"Nottingham, MD",0.1572
24510080400,"Broadway East, Baltimore, MD",0.1561
24005403601,"Baltimore, MD",0.156
24510130100,"Reservoir Hill, Baltimore, MD",0.1553
24005492101,"Parkville, MD",0.1539
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.1519
24510020200,"Upper Fells Point, Baltimore, MD",0.151
24027602600,"Ellicott City, MD",0.1498
24027602900,"Normandy, Ellicott City, MD",0.1496
24005491100,"Baltimore, MD",0.1494
24005400500,"Catonsville, MD",0.1491
24005402503,"Randallstown, MD",0.1487
24005491201,"Towson, MD",0.1463
24005490603,"Baltimore, MD",0.146
24005403701,"Owings Mills, MD",0.1455
24510261100,"Canton, Baltimore, MD",0.1442
24510060200,"Baltimore, MD",0.1429
24027602100,"Ellicott City, MD",0.1412
24005490703,"Towson, MD",0.141
24510280301,"Gwynn Oak, Baltimore, MD",0.1372
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1369
24510271300,"Roland Park, Baltimore, MD",0.131
24005403802,"Pikesville, MD",0.1298
24510120600,"Old Goucher, Baltimore, MD",0.1286
24510020300,"Fells Point, Baltimore, MD",0.1252
24005403803,"Pikesville, MD",0.1213
24510010400,"Canton, Baltimore, MD",0.1212
24510110100,"Downtown, Baltimore, MD",0.1199
24005490602,"Baltimore, MD",0.119
24510271200,"Homeland, Baltimore, MD",0.1175
24510010500,"Upper Fells Point, Baltimore, MD",0.1156
24510120201,"Baltimore, MD",0.1155
24005490500,"Towson, MD",0.1129
24005491202,"Towson, MD",0.1103
24027602700,"Taylor Village, Ellicott City, MD",0.1056
24510040200,"Downtown, Baltimore, MD",0.1041
24510271501,"Mount Washington, Baltimore, MD",0.1041
24005490601,"Baltimore, MD",0.0971
24005490701,"Towson, MD",0.0934
24510271503,"Cross Keys, Baltimore, MD",0.0924
24510271102,"Mid-Charles, Baltimore, MD",0.0875
24510140100,"Bolton Hill, Baltimore, MD",0.0813
24510040100,"Downtown, Baltimore, MD",0.0805
24510110200,"Downtown, Baltimore, MD",0.0755
24510271400,"Evergreen, Baltimore, MD",0.0743
24510120202,"Baltimore, MD",0.0614
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",