tract,Name,Household_Income_rP_gP_pall
24031705300,"Chevy Chase, MD",84705
11001000901,"Northwest Washington, Washington, DC",83482
51059470100,"McLean, VA",82599
51059480201,"McLean, VA",82361
51059480100,"Great Falls, VA",81865
51013100300,"Old Glebe, Arlington, VA",79954
24031704700,"Bethesda, MD",79879
24031706008,"Potomac, MD",79850
51013101601,"North Highland, Arlington, VA",79355
24031706013,"Bethesda, MD",78609
51510200202,"Seminary Hill, Alexandria, VA",77445
51510202001,"Old Town, Alexandria, VA",75598
24031706009,"Potomac, MD",75554
51059470300,"McLean, VA",75452
24031705400,"Chevy Chase, MD",75039
24031705701,"Bethesda, MD",74387
24031705901,"Bethesda, MD",73822
24031705702,"Bethesda, MD",73465
51059470800,"McLean, VA",73427
51059470500,"McLean, VA",73381
24031705200,"Chevy Chase, MD",73381
11001000801,"Northwest Washington, Washington, DC",72459
51059470600,"McLean, VA",72234
24031705502,"Chevy Chase, MD",71931
24031705601,"Bethesda, MD",71449
51059471304,"Falls Church, VA",70933
51510200900,"North Ridge, Alexandria, VA",70407
24031705100,"Chevy Chase, MD",70129
11001001402,"Northwest Washington, Washington, DC",69688
51059470900,"Falls Church, VA",69480
51059470400,"McLean, VA",69468
24031705902,"Bannockburn, Bethesda, MD",69243
11001000600,"Northwest Washington, Washington, DC",69095
11001000400,"Naval Observatory, Washington, DC",69006
24033806400,"University Park, MD",68566
11001006600,"Capitol Hill, Washington, DC",68563
11001001500,"Northwest Washington, Washington, DC",68453
51013100500,"Donaldson Run, Arlington, VA",68427
11001001100,"Northwest Washington, Washington, DC",68400
51059471000,"Falls Church, VA",68266
51510201100,"North Ridge, Alexandria, VA",68217
51013100400,"Arlington, VA",67958
51510200801,"Taylor Run, Alexandria, VA",67753
24031704600,"Bethesda, MD",67664
11001001401,"Northwest Washington, Washington, DC",67215
51013101100,"East Falls Church, Arlington, VA",67189
11001000100,"Georgetown, Washington, DC",67108
11001001301,"Northwest Washington, Washington, DC",66787
11001004100,"Northwest Washington, Washington, DC",66585
51059451300,"Falls Church, VA",66502
51059452000,"Annandale, VA",66449
24031704805,"Bethesda, MD",65891
51510200404,"Landmark, Alexandria, VA",65852
51610500100,"Falls Church, VA",65670
51013100200,"Yorktown, Arlington, VA",65368
24031705903,"Bethesda, MD",65366
11001006500,"Southeast Washington, Washington, DC",65276
11001000202,"Georgetown, Washington, DC",64748
51510201000,"North Ridge, Alexandria, VA",64574
24031705000,"Bethesda, MD",64537
24031705800,"Glen Echo, MD",64477
11001001001,"American University Park, Washington, DC",64425
51059430500,"Springfield, VA",64225
51013101900,"Ashton Heights, Arlington, VA",64060
51059451200,"Falls Church, VA",63999
51059471303,"Falls Church, VA",63561
51059450601,"Falls Church, VA",63401
51510200702,"Eisenhower East, Alexandria, VA",63282
51059451000,"Annandale, VA",63049
51510201500,"Potomac West, Alexandria, VA",62840
11001000802,"Northwest Washington, Washington, DC",62735
51059451800,"Lincolnia, VA",62653
24031705501,"Chevy Chase, MD",62352
51013102100,"Glencarlyn, Arlington, VA",62318
51059470700,"McLean, VA",62264
51059451100,"Falls Church, VA",62250
11001010800,"Northwest Washington, Washington, DC",61798
51059471401,"Falls Church, VA",61519
11001008200,"Northeast Washington, Washington, DC",61417
51013101200,"Dominion Hills, Arlington, VA",61309
51610500300,"Falls Church, VA",61008
24031704804,"Bethesda, MD",60848
51013103700,"Arlington Ridge, Arlington, VA",60182
51013101000,"Arlington, VA",59822
11001001200,"Northwest Washington, Washington, DC",59671
51059450800,"Annandale, VA",59628
11001000701,"Cathedral Heights, Washington, DC",59581
51059420203,"Alexandria, VA",59271
51059452501,"Alexandria, VA",59224
11001000902,"Northwest Washington, Washington, DC",59089
51013100100,"Arlington, VA",58986
11001000502,"Northwest Washington, Washington, DC",58819
11001000300,"Northwest Washington, Washington, DC",58497
51013100900,"Tara - Leeway Heights, Arlington, VA",58482
51059450400,"Falls Church, VA",58329
51059452101,"Annandale, VA",57911
51013103401,"Fort Myer, Arlington, VA",57832
51510200403,"Landmark, Alexandria, VA",57731
51013101300,"Bluemont, Arlington, VA",57545
51059450900,"Falls Church, VA",57271
51059420700,"Alexandria, VA",57001
11001010700,"Downtown, Washington, DC",56963
51059452400,"Springfield, VA",56912
51059415200,"Alexandria, VA",56828
51013101801,"Court House, Arlington, VA",56537
51013103000,"Shirlington, Arlington, VA",56461
51059452102,"Annandale, VA",56316
51013102802,"Claremont, Arlington, VA",56238
51013100600,"Cherrydale, Arlington, VA",55945
51013102301,"Alcova Heights, Arlington, VA",55761
51059471202,"McLean, VA",55623
24033806800,"Berwyn Heights, MD",55491
51059420201,"Alexandria, VA",55142
51610500200,"Falls Church, VA",55109
51059420300,"Alexandria, VA",54944
24031702401,"Silver Spring, MD",54702
51059420100,"Springfield, VA",54574
51013103601,"Aurora Highlands, Arlington, VA",54203
24033804200,"Cheverly, MD",54167
51059420202,"Alexandria, VA",54128
11001006700,"Southeast Washington, Washington, DC",54032
51510202002,"Old Town, Alexandria, VA",53950
24031704806,"Bethesda, MD",53790
24033807200,"College Park, MD",53663
51059471100,"Falls Church, VA",53523
51013102002,"Ashton Heights, Arlington, VA",53376
51013103503,"Crystal City, Arlington, VA",53286
11001005500,"Northwest Washington, Washington, DC",52999
51059430600,"Springfield, VA",52935
51013101404,"Virginia Square, Arlington, VA",52696
51059452801,"Alexandria, VA",52594
24033806706,"Greenbelt, MD",52417
51013103402,"Crystal City, Arlington, VA",52309
51059450100,"Falls Church, VA",52174
51059452200,"Annandale, VA",52115
51059450702,"Annandale, VA",51926
51013101802,"Court House, Arlington, VA",51767
24033807000,"College Park, MD",51712
51059430700,"Springfield, VA",51653
11001004202,"Northwest Washington, Washington, DC",51522
51059451501,"Falls Church, VA",51521
11001001600,"Northwest Washington, Washington, DC",51491
24033800408,"Glenn Dale, MD",51374
51013101500,"Lyon Village, Arlington, VA",51269
51059450500,"Falls Church, VA",51020
11001001302,"Forest Hills, Washington, DC",50809
51013101402,"Virginia Square, Arlington, VA",50791
11001002600,"Northwest Washington, Washington, DC",50789
51013100700,"Arlington, VA",50651
51510200201,"Seminary Hill, Alexandria, VA",50520
51013103502,"Aurora Highlands, Arlington, VA",50145
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",50139
51510201900,"Old Town, Alexandria, VA",50023
51013101403,"Virginia Square, Arlington, VA",50010
51059450300,"Falls Church, VA",49926
51510200302,"Seminary Hill, Alexandria, VA",49923
51059452600,"Alexandria, VA",49885
51013102902,"Shirlington, Arlington, VA",49449
11001007301,"Southwest Washington, Washington, DC",49372
24033806708,"Greenbelt, MD",49004
11001001002,"Cathedral Heights, Washington, DC",48691
11001004001,"Adams Morgan, Washington, DC",48611
51059451602,"Falls Church, VA",48567
51510200802,"Taylor Run, Alexandria, VA",48504
51013101603,"North Rosslyn, Arlington, VA",48399
51510201400,"Potomac West, Alexandria, VA",48379
51059450200,"Falls Church, VA",48317
24033800411,"Glenn Dale, MD",47962
51059450602,"Falls Church, VA",47907
24033803520,"Bowie, MD",47907
24033806710,"Greenbelt, MD",47826
51510201801,"Northeast Alexandria, Alexandria, VA",47767
51510201802,"Old Town, Alexandria, VA",47672
51013101401,"Bluemont, Arlington, VA",47655
24033803523,"Bowie, MD",47646
11001005800,"Northwest Washington, Washington, DC",47633
24033807102,"Riverdale, Riverdale Park, MD",47559
51013101803,"Lyon Park, Arlington, VA",47528
24033803516,"Bowie, MD",47508
51059451900,"Alexandria, VA",47457
51059420502,"Alexandria, VA",47297
51013103602,"Aurora Highlands, Arlington, VA",46961
24033800412,"Lanham, MD",46782
11001000501,"Northwest Washington, Washington, DC",46616
51013102400,"Arlington Heights, Arlington, VA",46444
11001010100,"Downtown, Washington, DC",46439
51059420600,"Groveton, Alexandria, VA",46353
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",46185
11001008301,"Northeast Washington, Washington, DC",46156
51510200701,"Eisenhower West, Alexandria, VA",45548
24031705602,"Chevy Chase, MD",45431
24031701701,"Takoma Park, MD",45322
24033805801,"Adelphi, MD",45275
51059452802,"Bailey's Crossroads, VA",45148
24033801104,"Joint Base Andrews, MD",45140
51510200407,"Landmark, Alexandria, VA",45120
51013102600,"Douglas Park, Arlington, VA",45089
51059452700,"Falls Church, VA",45073
24033800706,"Upper Marlboro, MD",45064
24031702700,"Silver Spring, MD",44864
51013100800,"High View Park, Arlington, VA",44765
11001005600,"Northwest Washington, Washington, DC",44315
51013102302,"Barcroft, Arlington, VA",44239
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",44187
51059420503,"Alexandria, VA",43884
24033803605,"New Carrollton, MD",43858
24033806200,"Hyattsville, MD",43844
24033801211,"Clinton, MD",43813
24033806100,"Hyattsville, MD",43710
51013102001,"Buckingham, Arlington, VA",43696
24033805904,"Hyattsville, MD",43685
51510200600,"Seminary Hill, Alexandria, VA",43671
24031704803,"Bethesda, MD",43641
11001005301,"Northwest Washington, Washington, DC",43637
11001002302,"Northwest Washington, Washington, DC",43626
24033806711,"Greenbelt, MD",43427
51013102003,"Buckingham, Arlington, VA",43251
24031701800,"Takoma Park, MD",43160
11001008100,"Northeast Washington, Washington, DC",42918
51013102901,"Shirlington, Arlington, VA",42809
24033805802,"Hyattsville, MD",42779
51510200107,"Alexandria West, Alexandria, VA",42525
24033803606,"Lanham, MD",42506
51510200102,"Alexandria West, Alexandria, VA",42315
51013103200,"Columbia Heights, Arlington, VA",42225
24033804101,"Cheverly, MD",42204
24031701703,"Takoma Park, MD",42024
51059451502,"Bailey's Crossroads, VA",41973
51510201300,"Del Ray, Alexandria, VA",41945
51013102702,"Douglas Park, Arlington, VA",41924
11001000702,"Northwest Washington, Washington, DC",41900
51013103300,"Arlington Views, Arlington, VA",41706
24033803521,"Bowie, MD",41658
51059451601,"Bailey's Crossroads, VA",41569
24033803610,"New Carrollton, MD",41266
24031702500,"Downtown Silver Spring, Silver Spring, MD",41195
51013102801,"Columbia Forest, Arlington, VA",41177
24033801404,"National Harbor, Oxon Hill, MD",41131
11001011000,"Southwest Washington, Washington, DC",41114
24033800701,"Upper Marlboro, MD",41113
51013101602,"Colonial Village, Arlington, VA",41106
24033800413,"Lanham, MD",41026
24033801901,"Temple Hills, MD",40998
51510200106,"Alexandria West, Alexandria, VA",40959
51013103800,"Long Branch Creek, Arlington, VA",40764
24031702602,"Silver Spring, MD",40603
24033803512,"Upper Marlboro, MD",40367
51059451400,"Seven Corners, VA",40329
51510200303,"Landmark, Alexandria, VA",40110
11001001902,"Manor Park, Washington, DC",40062
51510200703,"Southwest Quadrant, Alexandria, VA",39998
11001010200,"Southwest Washington, Washington, DC",39995
11001003900,"Lanier Heights, Washington, DC",39926
51510200104,"Alexandria West, Alexandria, VA",39880
51013103501,"Arlington Ridge, Arlington, VA",39809
24033801407,"Fort Washington, MD",39776
51013102200,"Arlington Mill, Arlington, VA",39738
51013102500,"Penrose, Arlington, VA",39722
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",39583
24031701704,"Takoma Park, MD",39491
24033805500,"Hyattsville, MD",39264
51510200301,"Seminary Hill, Alexandria, VA",39236
24031702402,"Silver Spring, MD",39189
11001002701,"Northwest Washington, Washington, DC",39189
24033803601,"Springdale, MD",39182
11001010300,"Northwest Washington, Washington, DC",39148
24033803527,"Upper Marlboro, MD",39094
51059452502,"Lincolnia, VA",39037
51510200500,"Seminary Hill, Alexandria, VA",39028
24033803607,"Lanham, MD",38827
24031702601,"Downtown Silver Spring, Silver Spring, MD",38751
51510200105,"Alexandria West, Alexandria, VA",38693
24033803608,"Lanham, MD",38672
24033805101,"Chillum, MD",38537
24033806602,"Riverdale, East Riverdale, MD",38536
51510200103,"Alexandria West, Alexandria, VA",38519
24033805202,"Takoma Park, MD",38501
24033806712,"Greenbelt, MD",38472
24033803700,"Hyattsville, MD",38369
24033801214,"Clinton, MD",38329
11001009901,"Penn Branch, Washington, DC",38103
51510200406,"Landmark, Alexandria, VA",38039
24031702000,"New Hampshire Estates, Silver Spring, MD",37802
24033805700,"Hyattsville, MD",37654
11001001702,"Northwest Washington, Washington, DC",37631
24033801905,"Suitland, Camp Springs, MD",37630
24033804700,"Mount Rainier, MD",37378
24033801904,"Suitland, Camp Springs, MD",37002
24033806501,"Riverdale, Riverdale Park, MD",36932
11001002001,"16th Street Heights, Washington, DC",36846
51510201202,"Potomac West, Alexandria, VA",36817
24033801405,"Oxon Hill, MD",36707
24033806000,"Hyattsville, MD",36704
24033801212,"Camp Springs, MD",36672
24033805909,"Hyattsville, MD",36585
11001009504,"Michigan Park, Washington, DC",36434
24033802201,"Upper Marlboro, MD",36366
11001009507,"Northeast Washington, Washington, DC",36346
24033805000,"Hyattsville, MD",36297
51510200405,"Landmark, Alexandria, VA",36174
24033802301,"District Heights, MD",36159
24033805201,"Hyattsville, MD",36156
24033803513,"Largo, MD",36106
24033803803,"Riverdale, Woodlawn, MD",36045
51013102701,"Douglas Park, Arlington, VA",35985
24033804900,"Hyattsville, MD",35938
24033806300,"Hyattsville, MD",35900
24033803519,"Landover, Hyattsville, MD",35882
24033803514,"Largo, MD",35879
11001009503,"Northeast Washington, Washington, DC",35735
11001001901,"Brightwood, Washington, DC",35677
24031702301,"Silver Spring, MD",35621
24033803613,"Lanham, MD",35500
51059420400,"Alexandria, VA",35442
11001009000,"Fort Lincoln, Washington, DC",35404
24033801409,"Fort Washington, MD",35391
24033801408,"Fort Washington, MD",35365
11001002702,"Mount Pleasant, Washington, DC",35357
11001005002,"Downtown, Washington, DC",35281
24033802204,"District Heights, MD",35235
11001004002,"Adams Morgan, Washington, DC",35000
24033801706,"Temple Hills, MD",34958
11001009505,"Northeast Washington, Washington, DC",34861
11001009508,"Northeast Washington, Washington, DC",34842
24033805602,"Hyattsville, MD",34596
11001002400,"Northwest Washington, Washington, DC",34579
24033804600,"Brentwood, MD",34550
11001001803,"Brightwood, Washington, DC",34540
24033803524,"Hyattsville, MD",34279
24033803801,"Hyattsville, MD",34273
24033806601,"Prince Georges County, MD",34170
24033802103,"District Heights, MD",34134
11001009201,"Edgewood, Washington, DC",34124
24033802203,"Forestville, MD",34067
24033805908,"Chillum, MD",34055
11001005201,"Downtown, Washington, DC",34013
24033804002,"Bladensburg, MD",33990
51013103100,"Nauck, Arlington, VA",33940
24033804102,"Hyattsville, MD",33676
11001008302,"Northeast Washington, Washington, DC",33625
24033804400,"Brentwood, MD",33618
11001006900,"Southeast Washington, Washington, DC",33591
11001004300,"Northwest Washington, Washington, DC",33427
11001001804,"Brightwood, Washington, DC",33422
11001007000,"Southeast Washington, Washington, DC",33419
11001002802,"Columbia Heights, Washington, DC",33277
11001009509,"Michigan Park, Washington, DC",33271
11001002502,"Northwest Washington, Washington, DC",32976
24033803602,"Glenarden, MD",32944
11001009400,"Northeast Washington, Washington, DC",32874
24031701900,"Takoma Park, MD",32644
11001007603,"Southeast Washington, Washington, DC",32507
51510201203,"Potomac West, Alexandria, VA",32469
11001004902,"Downtown, Washington, DC",32363
24033801708,"Oxon Hill, MD",32292
24033803612,"Lanham, MD",32223
24033801907,"Suitland, Suitland-Silver Hill, MD",32140
11001002201,"Northwest Washington, Washington, DC",32004
11001011100,"Northeast Washington, Washington, DC",32001
11001002102,"Northwest Washington, Washington, DC",31964
11001009301,"Northeast Washington, Washington, DC",31946
51510201600,"Old Town West, Alexandria, VA",31926
24033801906,"Morningside, MD",31878
24033802104,"District Heights, MD",31869
24033801701,"Temple Hills, MD",31761
24033801804,"Temple Hills, MD",31655
24031701702,"Takoma Park, MD",31516
11001009302,"Brookland, Washington, DC",31477
11001002002,"16th Street Heights, Washington, DC",31426
24033802804,"Capitol Heights, MD",31410
11001008402,"Northeast Washington, Washington, DC",31363
11001002801,"Columbia Heights, Washington, DC",31359
24033802502,"Capitol Heights, MD",31320
24033803002,"Capitol Heights, MD",31222
24033801500,"Oxon Hill, MD",31107
24033804802,"Mount Rainier, MD",31066
11001002101,"Brightwood Park, Washington, DC",30830
24033802501,"Suitland, Suitland-Silver Hill, MD",30741
24033801702,"Temple Hills, MD",30623
11001009604,"Northeast Washington, Washington, DC",30554
11001002202,"Northwest Washington, Washington, DC",30500
11001002900,"Northwest Washington, Washington, DC",30476
24033803900,"Hyattsville, MD",30468
24033802803,"Capitol Heights, MD",30239
11001010500,"Southwest Washington, Washington, DC",30136
24033805601,"Hyattsville, MD",30042
24033802001,"Suitland, Suitland-Silver Hill, MD",29910
24033802002,"District Heights, MD",29881
24033801807,"Hillcrest Heights, MD",29853
51510201204,"Del Ray, Alexandria, VA",29820
24033802404,"District Heights, MD",29740
24033801805,"Temple Hills, MD",29697
24033801808,"Hillcrest Heights, MD",29656
11001002501,"16th Street Heights, Washington, DC",29573
11001006802,"Barney Circle, Washington, DC",29475
24033804801,"Mount Rainier, MD",29438
11001003302,"Bloomingdale, Washington, DC",29414
11001003800,"Northwest Washington, Washington, DC",29366
24033803508,"Glenarden, MD",29338
11001002301,"Northwest Washington, Washington, DC",29288
11001009203,"Northeast Washington, Washington, DC",29188
11001003700,"Northwest Washington, Washington, DC",29090
24033801802,"Temple Hills, MD",29026
24033802407,"District Heights, MD",29025
11001009501,"Northeast Washington, Washington, DC",29017
24033804001,"Bladensburg, MD",28947
11001007807,"Northeast Washington, Washington, DC",28939
24033802408,"Capitol Heights, MD",28934
11001007707,"Benning Ridge, Washington, DC",28876
24033801908,"Suitland, Suitland-Silver Hill, MD",28812
11001008001,"Northeast Washington, Washington, DC",28789
24033804300,"Hyattsville, MD",28748
11001004201,"Northwest Washington, Washington, DC",28710
11001009902,"Southeast Washington, Washington, DC",28662
24033801704,"Oxon Hill, MD",28658
24033802107,"District Heights, MD",28600
24033802700,"Capitol Heights, MD",28579
24033803100,"Capitol Heights, MD",28522
11001007604,"Southeast Washington, Washington, DC",28486
24033803402,"Landover, Hyattsville, MD",28475
11001003200,"Northwest Washington, Washington, DC",28439
11001005900,"Northwest Washington, Washington, DC",28400
24033802406,"Suitland, Suitland-Silver Hill, MD",28162
24033802901,"Capitol Heights, MD",28111
24033801707,"Oxon Hill, MD",28019
24033802805,"Pepper Mill Village, Capitol Heights, MD",27949
24033803300,"Hyattsville, MD",27864
24033802405,"Suitland, Suitland-Silver Hill, MD",27864
24033803001,"Capitol Heights, MD",27803
24033803525,"Hyattsville, MD",27782
11001009903,"Southeast Washington, Washington, DC",27635
24033801801,"Temple Hills, MD",27589
11001007803,"Lower Central NE, Washington, DC",27562
11001003600,"Columbia Heights, Washington, DC",27557
11001007808,"Grant Park, Washington, DC",27494
11001009804,"Southeast Washington, Washington, DC",27486
11001004802,"Northwest Washington, Washington, DC",27422
11001003100,"Northwest Washington, Washington, DC",27420
11001007806,"Northeast Washington, Washington, DC",27337
11001009905,"Marshall Heights, Washington, DC",27236
11001004801,"Northwest Washington, Washington, DC",27029
11001008002,"Northeast Washington, Washington, DC",26973
11001009603,"Northeast Washington, Washington, DC",26909
11001003301,"Bloomingdale, Washington, DC",26783
11001010400,"Southeast Washington, Washington, DC",26746
11001007809,"Northeast Washington, Washington, DC",26636
24033802106,"Suitland-Silver Hill, MD",26614
11001007903,"Kingman Park, Washington, DC",26539
11001004400,"Northwest Washington, Washington, DC",26514
11001006801,"Hill East, Washington, DC",26301
24033803200,"Hyattsville, MD",26296
24033801600,"Oxon Hill, MD",26283
11001003000,"Columbia Heights, Washington, DC",26088
11001008410,"Northeast Washington, Washington, DC",26076
24033802600,"Capitol Heights, MD",26053
11001007709,"Fairlawn, Washington, DC",26024
11001009700,"Southeast Washington, Washington, DC",25884
11001007703,"Fort Dupont, Washington, DC",25855
11001008701,"Eckington, Washington, DC",25840
11001008802,"Northeast Washington, Washington, DC",25786
11001009601,"Kenilworth, Washington, DC",25745
11001007304,"Congress Heights, Washington, DC",25671
11001007708,"Southeast Washington, Washington, DC",25632
11001009807,"Bellevue, Washington, DC",25567
11001009803,"Congress Heights, Washington, DC",25532
24033803401,"Landover, Hyattsville, MD",25392
11001003500,"Northwest Washington, Washington, DC",25186
24033803509,"Dodge Park, Hyattsville, MD",25068
11001009602,"Mayfair, Washington, DC",25046
11001004600,"Northwest Washington, Washington, DC",25025
11001004901,"Northwest Washington, Washington, DC",24990
11001007503,"Historic Anacostia, Washington, DC",24938
11001007605,"Fairlawn, Washington, DC",24879
11001007100,"Southeast Washington, Washington, DC",24682
11001007601,"Southeast Washington, Washington, DC",24567
11001007403,"Shipley, Washington, DC",24502
11001009102,"Brentwood, Washington, DC",24315
11001010600,"Near Northeast, Washington, DC",24052
11001007407,"Barry Farm, Washington, DC",23906
11001007504,"Historic Anacostia, Washington, DC",23860
11001008903,"Carver / Langston, Washington, DC",23601
11001007409,"Southeast Washington, Washington, DC",23463
11001005001,"Logan Circle, Washington, DC",23332
11001008702,"Eckington, Washington, DC",23193
11001009907,"Southeast Washington, Washington, DC",23147
11001009801,"Southeast Washington, Washington, DC",23115
11001003400,"Howard University, Washington, DC",23073
11001008904,"Carver / Langston, Washington, DC",23046
11001009906,"Marshall Heights, Washington, DC",22845
11001007804,"Lincoln Heights, Washington, DC",22845
11001007901,"Northeast Washington, Washington, DC",22764
11001009811,"Southeast Washington, Washington, DC",22611
11001007406,"Southeast Washington, Washington, DC",22469
11001009904,"Marshall Heights, Washington, DC",22388
11001010900,"Southwest Washington, Washington, DC",22165
11001007502,"Southeast Washington, Washington, DC",22043
11001008803,"Northeast Washington, Washington, DC",22003
11001009810,"Southeast Washington, Washington, DC",21870
11001007408,"Southeast Washington, Washington, DC",21724
11001009204,"Edgewood, Washington, DC",21593
11001006400,"Southwest Washington, Washington, DC",21338
11001008804,"Northeast Washington, Washington, DC",21185
11001007404,"Douglass, Washington, DC",20226
11001004702,"Northwest Washington, Washington, DC",20126
11001007401,"Barry Farm, Washington, DC",20035
11001009802,"Southeast Washington, Washington, DC",19826
11001004701,"Northwest Washington, Washington, DC",19624
11001007200,"Capitol Riverfront, Washington, DC",19249
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",